WEEK,MONTH,LAKES,TQG,PO,GR,PN
1,1,0,13632,1,.4,1
2,1,0,20035,1,.4,1
3,1,0,16319,1,.4,1
4,1,0,12603,1,.4,1
5,2,0,23079,1,.4,1
6,2,0,19652,1,.4,1
7,2,0,16211,1,.4,1
8,2,0,22914,1,.4,1
9,3,0,23710,1,.4,1
10,3,0,23036,1,.35,1
11,3,0,38414,1,.35,1
12,3,0,46906,1,.35,1
13,4,0,58608,1,.35,1
14,4,0,51225,1,.35,1
15,4,1,37339,1,.35,1
16,4,1,20298,1,.3,1
17,5,1,13699,1,.3,1
18,5,1,11944,1,.3,1
19,5,1,10658,1,.3,1
20,5,1,9756,1,.3,1
21,6,1,9546,1,.3,1
22,6,1,16713,1,.3,1
23,6,1,16389,1,.3,1
24,6,1,23179,1,.3,1
25,7,1,34999,1,.3,1
26,7,1,35267,1,.3,1
27,7,1,20402,1,.3,1
28,7,1,21020,1,.3,1
29,8,1,16612,1,.3,1
30,8,1,14834,1,.3,1
31,8,1,11149,1,.3,1
32,8,1,16035,1,.3,1
33,9,1,18555,1,.3,1
34,9,1,17413,1,.3,1
35,9,1,19412,1,.3,1
36,9,1,20240,1,.3,1
37,10,1,11824,1,.3,1
38,10,1,17793,1,.3,1
39,10,1,20157,1,.3,1
40,10,1,18623,1,.3,1
41,11,1,19062,1,.3,1
42,11,1,20840,1,.3,1
43,11,1,18972,1,.3,1
44,11,1,19690,1,.3,1
45,12,1,20206,1,.3,1
46,12,1,23081,1,.3,1
47,12,1,21209,1,.3,1
48,12,1,13753,1,.35,1
49,13,0,14956,1,.35,1
50,13,0,13295,1,.35,1
51,13,0,16935,1,.35,1
52,13,0,24499,1,.35,1
53,1,0,20078,1,.35,1
54,1,0,24144,1,.35,1
55,1,0,26157,1,.35,1
56,1,0,22055,1,.35,1
57,2,0,21973,1,.35,1
58,2,0,23794,1,.35,1
59,2,0,23116,1,.35,1
60,2,0,23578,1,.35,1
61,3,0,21568,1,.35,1
62,3,0,17494,0,.35,1
63,3,0,16260,0,.35,1
64,3,0,26690,0,.35,1
65,4,0,21723,0,.35,1
66,4,0,30625,0,.35,1
67,4,0,36618.5,0,.35,1
68,4,0,42182,0,.3,1
69,5,0,47432,0,.25,1
70,5,0,43822,1,.3,1
71,5,0,36457.63,1,.3,1
72,5,0,29093.34,1,.3,1
73,6,1,21729,1,.3,1
74,6,1,21265,1,.3,1
75,6,1,18505,1,.3,1
76,6,1,14540,0,.3,0
77,7,1,19366,0,.3,0
78,7,1,55732,0,.25,0
79,7,1,42346,0,.15,0
80,7,1,28960,0,.15,0
